Original_Index,Selected_Index,Correlation
1,1,0.7000234102510031
3,2,-0.7051565118389932
4,3,0.15694294466862307
5,4,-0.624514215078378
6,5,-0.18333784655799543
8,6,-0.6242761363225742
9,7,-0.289691796910548
10,8,0.26183963917992253
12,9,-0.6321479155660943
13,10,-0.6770371329358713
15,11,-0.4027581429709351
17,12,-0.681886464512802
18,13,0.5664398412749646
21,14,0.7570742002722493
22,15,-0.649582912736286
24,16,-0.1395492026330917
26,17,0.2995798965359859
27,18,-0.4525055767273058
32,19,-0.6364719488978389
35,20,-0.5657361463699777
37,21,-0.49804435530176194
38,22,0.48694423895799266
39,23,-0.1494491665603928
41,24,-0.6696871070235507
42,25,0.504493916373206
43,26,-0.6578255483955567
44,27,-0.6200563573954316
46,28,-0.6024888196683446
47,29,0.6091752403746148
48,30,-0.5446362489361823
49,31,-0.5039984856449576
50,32,0.5681605014828572
52,33,0.3713247051745765
53,34,0.1025100959383994
55,35,0.12424716232661526
56,36,-0.594950125690183
57,37,-0.4590485916224617
61,38,0.49076336255153474
62,39,-0.3143078617511085
63,40,-0.2281242035289511
