Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Linear	0.001000	0.001000	90.16	0.30	90.05	2.62
Linear	0.001000	0.010000	90.16	0.30	90.05	2.62
Linear	0.001000	0.100000	90.16	0.30	90.05	2.62
Linear	0.001000	1.000000	90.16	0.30	90.05	2.62
Linear	0.001000	10.000000	90.16	0.30	90.05	2.62
Linear	0.001000	100.000000	90.16	0.30	90.05	2.62
Linear	0.001000	1000.000000	90.16	0.30	90.05	2.62
Linear	0.010000	0.001000	90.40	0.34	90.20	2.48
Linear	0.010000	0.010000	90.40	0.34	90.20	2.48
Linear	0.010000	0.100000	90.40	0.34	90.20	2.48
Linear	0.010000	1.000000	90.40	0.34	90.20	2.48
Linear	0.010000	10.000000	90.40	0.34	90.20	2.48
Linear	0.010000	100.000000	90.40	0.34	90.20	2.48
Linear	0.010000	1000.000000	90.40	0.34	90.20	2.48
Linear	0.100000	0.001000	90.59	0.32	90.00	2.70
Linear	0.100000	0.010000	90.59	0.32	90.00	2.70
Linear	0.100000	0.100000	90.59	0.32	90.00	2.70
Linear	0.100000	1.000000	90.59	0.32	90.00	2.70
Linear	0.100000	10.000000	90.59	0.32	90.00	2.70
Linear	0.100000	100.000000	90.59	0.32	90.00	2.70
Linear	0.100000	1000.000000	90.59	0.32	90.00	2.70
Linear	1.000000	0.001000	90.92	0.47	90.20	2.62
Linear	1.000000	0.010000	90.92	0.47	90.20	2.62
Linear	1.000000	0.100000	90.92	0.47	90.20	2.62
Linear	1.000000	1.000000	90.92	0.47	90.20	2.62
Linear	1.000000	10.000000	90.92	0.47	90.20	2.62
Linear	1.000000	100.000000	90.92	0.47	90.20	2.62
Linear	1.000000	1000.000000	90.92	0.47	90.20	2.62
Linear	10.000000	0.001000	91.08	0.33	90.35	2.71
Linear	10.000000	0.010000	91.08	0.33	90.35	2.71
Linear	10.000000	0.100000	91.08	0.33	90.35	2.71
Linear	10.000000	1.000000	91.08	0.33	90.35	2.71
